frame 300
p 1
-0.143043843 -0.092284490 -0.041186359
-0.080019124 -0.068171562 0.384609634
-0.085892144 -0.061685391 0.734531969
0.024593826 0.157369143 0.750356565
0.058398883 0.166660364 0.367249501
-0.003956608 0.191496204 -0.049957512
0.008884201 -0.169837228 0.790935900
-0.087618294 -0.208874293 1.005844842
-0.119615581 -0.114840591 1.288580081
-0.092620844 0.225735410 1.280025432
-0.070612343 0.253858954 1.001317413
0.050673340 0.186290300 0.828517371
-0.061609992 0.060926130 1.420322586
0.012730528 0.055469213 1.608273490
p 3
1.384717668 -0.587581941 -0.012927140
1.355327659 -0.513132710 0.364381855
1.270228523 -0.416103558 0.812520210
1.107003084 -0.578903177 0.811511908
1.032802644 -0.597321822 0.420751934
1.181596989 -0.709836325 -0.017026410
1.236439424 -0.327119500 0.997208721
1.340839806 -0.330352068 1.131633532
1.354737410 -0.410281350 1.341670215
1.116301863 -0.633445746 1.355945317
1.089756940 -0.724071022 1.118279901
1.000334285 -0.504744528 0.995786049
1.205400099 -0.450356701 1.442593959
1.192558993 -0.399433659 1.593452229
frame 301
p 1
-0.138015969 -0.104901387 -0.046675421
-0.121312379 -0.096469233 0.383633850
-0.108012143 -0.094660083 0.730927669
0.000017390 0.115942708 0.740830952
0.044896102 0.132929194 0.363866321
-0.003956608 0.191496204 -0.049957512
0.000640860 -0.201216183 0.768005772
-0.116929655 -0.239930202 0.993127476
-0.124035066 -0.166133522 1.268779446
-0.094105849 0.187159194 1.263199943
-0.074996412 0.220016757 0.982692573
0.056402708 0.134516416 0.795388840
-0.079880901 0.024411360 1.427286132
-0.039109495 0.029215157 1.650283728
p 3
1.384717668 -0.587581941 -0.012927140
1.320573833 -0.506437618 0.367570152
1.243220283 -0.413398167 0.815612816
1.065691302 -0.573880499 0.817433426
1.040796338 -0.638811940 0.397127322
1.046989743 -0.687403880 0.019985962
1.221072134 -0.323292817 0.994317739
1.322151892 -0.329753748 1.133826993
1.315774427 -0.407275951 1.343243839
1.098238435 -0.631638959 1.357496671
1.066835485 -0.728214676 1.135972667
0.975256050 -0.503000930 1.012902413
1.187777062 -0.449290656 1.443796118
1.175446165 -0.398479745 1.594191489
frame 302
p 1
-0.138015969 -0.104901387 -0.046675421
-0.116611330 -0.107697312 0.377552876
-0.118670502 -0.108727256 0.718576898
-0.007176068 0.091132913 0.728110983
0.044896102 0.132929194 0.363866321
-0.003956608 0.191496204 -0.049957512
-0.007890619 -0.224207902 0.757966169
-0.135004504 -0.246755382 1.001890382
-0.127490980 -0.195450083 1.256113572
-0.094103093 0.157028012 1.247662550
-0.087553145 0.203373146 0.988948935
0.043109536 0.118788207 0.798858216
-0.082608609 -0.011420625 1.423130547
-0.048287700 0.008976991 1.651883057
p 3
1.384717668 -0.587581941 -0.012927140
1.328555120 -0.522599619 0.370508426
1.267197643 -0.484303485 0.789301666
1.042032287 -0.586739383 0.819678209
1.046208951 -0.649209883 0.396374724
1.017122469 -0.691119168 0.022179719
1.200511188 -0.338300786 0.995193318
1.302370923 -0.345309763 1.134173698
1.296659646 -0.422737641 1.343164458
1.077649848 -0.645274376 1.357632266
1.044208521 -0.740876151 1.136972512
0.953775962 -0.516296856 1.014005855
1.173782738 -0.476442913 1.449004834
1.174746493 -0.456823407 1.613814770
frame 303
p 1
-0.138015969 -0.104901387 -0.046675421
-0.116611330 -0.107697312 0.377552876
-0.118670502 -0.108727256 0.718576898
-0.007176068 0.091132913 0.728110983
0.056018068 0.113741809 0.347558746
-0.003956608 0.191496204 -0.049957512
-0.028147879 -0.219979535 0.770682765
-0.138836226 -0.265340445 0.983646728
-0.135993970 -0.210035733 1.253075556
-0.112742832 0.154989931 1.264970791
-0.101638066 0.202029595 0.991262124
0.030394894 0.108738446 0.803346737
-0.087848283 -0.022772715 1.412954833
-0.039165613 -0.033627716 1.636138588
p 3
1.383577756 -0.593508748 -0.004841398
1.278191426 -0.511844131 0.373967729
1.243707632 -0.498377289 0.791394831
1.018332346 -0.599435982 0.821955300
1.046208951 -0.649209883 0.396374724
1.017122469 -0.691119168 0.022179719
1.155439511 -0.390514553 0.999200852
1.252674241 -0.345838140 1.159993861
1.271309824 -0.444035314 1.361241935
1.045983821 -0.648858157 1.368288466
1.014430137 -0.764224875 1.125150727
0.903969555 -0.494157278 1.037043769
1.154543923 -0.502604515 1.461474120
1.137466969 -0.452344710 1.625102760
frame 304
p 1
-0.138015969 -0.104901387 -0.046675421
-0.116611330 -0.107697312 0.377552876
-0.118670502 -0.108727256 0.718576898
-0.007176068 0.091132913 0.728110983
0.056018068 0.113741809 0.347558746
-0.003956608 0.191496204 -0.049957512
-0.023178593 -0.251716689 0.753484046
-0.144715027 -0.276031062 0.985739214
-0.139647304 -0.227318041 1.256833348
-0.109946484 0.136656645 1.253456874
-0.103701519 0.181942913 0.993460839
0.020895414 0.103845700 0.810523571
-0.094611815 -0.039246454 1.425515615
-0.051606359 -0.036939107 1.651604801
p 3
1.372911930 -0.586505702 -0.009188722
1.240827682 -0.509080860 0.383381107
1.194348890 -0.502514922 0.799430163
0.995801439 -0.638108722 0.813463454
1.000636489 -0.648472395 0.401614335
1.017122469 -0.691119168 0.022179719
1.110795850 -0.396212521 1.004540156
1.209029832 -0.352337435 1.163943331
1.227812767 -0.449639129 1.363936945
1.002509164 -0.651964105 1.371181699
0.967984590 -0.765619338 1.130300037
0.860820474 -0.498250667 1.042284768
1.112569237 -0.507645155 1.463429359
1.097391096 -0.457878443 1.625912587
frame 305
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.033281140 0.086205601 0.715381531
0.033713732 0.111160239 0.355654940
-0.011728305 0.188455663 -0.044126281
-0.023178593 -0.251716689 0.753484046
-0.145683391 -0.283685971 0.996499751
-0.141728112 -0.219741958 1.256655197
-0.109946484 0.136656645 1.253456874
-0.103701519 0.181942913 0.993460839
0.020895414 0.103845700 0.810523571
-0.091137454 -0.048682551 1.424243225
-0.038863690 -0.066066925 1.645090468
p 3
1.372911930 -0.586505702 -0.009188722
1.240827682 -0.509080860 0.383381107
1.160323342 -0.502530984 0.807740146
0.962634972 -0.636967490 0.821696841
1.000636489 -0.648472395 0.401614335
1.017122469 -0.691119168 0.022179719
1.079659778 -0.397286732 1.010956886
1.178281343 -0.353888072 1.169401694
1.218412130 -0.472998674 1.355476282
0.972348864 -0.651335435 1.375605727
0.936113055 -0.763866286 1.136326505
0.831106442 -0.498414786 1.048417114
1.083050804 -0.508242222 1.467256761
1.069081142 -0.458854954 1.628849868
frame 306
p 1
-0.138015969 -0.104901387 -0.046675421
-0.156583885 -0.128244630 0.366942156
-0.148900429 -0.128865755 0.707819848
-0.035132411 0.087968497 0.720001165
